LOCATION,Country,VARIABLE,Variable,FREQUENCY,Frequency,TIME,Time,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,GDP,Flag Codes,Flags
CHN,China (People's Republic of),GDPVD_CAP,"Gross domestic product per capita, volume in USD, at constant purchasing power parities",A,Annual,2012,2012,USD,US Dollar,0,Units,2015,2015,11783.78374,,
CHN,China (People's Republic of),GDPVD_CAP,"Gross domestic product per capita, volume in USD, at constant purchasing power parities",A,Annual,2013,2013,USD,US Dollar,0,Units,2015,2015,12635.32088,,
CHN,China (People's Republic of),GDPVD_CAP,"Gross domestic product per capita, volume in USD, at constant purchasing power parities",A,Annual,2014,2014,USD,US Dollar,0,Units,2015,2015,13488.51788,,
CHN,China (People's Republic of),GDPVD_CAP,"Gross domestic product per capita, volume in USD, at constant purchasing power parities",A,Annual,2015,2015,USD,US Dollar,0,Units,2015,2015,14350.58064,,
CHN,China (People's Republic of),GDPVD_CAP,"Gross domestic product per capita, volume in USD, at constant purchasing power parities",A,Annual,2016,2016,USD,US Dollar,0,Units,2015,2015,15222.48124,,
CHN,China (People's Republic of),GDPVD_CAP,"Gross domestic product per capita, volume in USD, at constant purchasing power parities",A,Annual,2017,2017,USD,US Dollar,0,Units,2015,2015,16171.4145,,
GRC,Greece,GDPVD_CAP,"Gross domestic product per capita, volume in USD, at constant purchasing power parities",A,Annual,2000,2000,USD,US Dollar,0,Units,2015,2015,27657.12126,,
GRC,Greece,GDPVD_CAP,"Gross domestic product per capita, volume in USD, at constant purchasing power parities",A,Annual,2001,2001,USD,US Dollar,0,Units,2015,2015,28666.14505,,
GRC,Greece,GDPVD_CAP,"Gross domestic product per capita, volume in USD, at constant purchasing power parities",A,Annual,2002,2002,USD,US Dollar,0,Units,2015,2015,29688.95521,,
GRC,Greece,GDPVD_CAP,"Gross domestic product per capita, volume in USD, at constant purchasing power parities",A,Annual,2003,2003,USD,US Dollar,0,Units,2015,2015,31333.54441,,
GRC,Greece,GDPVD_CAP,"Gross domestic product per capita, volume in USD, at constant purchasing power parities",A,Annual,2004,2004,USD,US Dollar,0,Units,2015,2015,32775.64466,,
GRC,Greece,GDPVD_CAP,"Gross domestic product per capita, volume in USD, at constant purchasing power parities",A,Annual,2005,2005,USD,US Dollar,0,Units,2015,2015,32925.99008,,
GRC,Greece,GDPVD_CAP,"Gross domestic product per capita, volume in USD, at constant purchasing power parities",A,Annual,2006,2006,USD,US Dollar,0,Units,2015,2015,34658.47068,,
GRC,Greece,GDPVD_CAP,"Gross domestic product per capita, volume in USD, at constant purchasing power parities",A,Annual,2007,2007,USD,US Dollar,0,Units,2015,2015,35669.3098,,
GRC,Greece,GDPVD_CAP,"Gross domestic product per capita, volume in USD, at constant purchasing power parities",A,Annual,2008,2008,USD,US Dollar,0,Units,2015,2015,35482.63999,,
GRC,Greece,GDPVD_CAP,"Gross domestic product per capita, volume in USD, at constant purchasing power parities",A,Annual,2009,2009,USD,US Dollar,0,Units,2015,2015,33866.49944,,
GRC,Greece,GDPVD_CAP,"Gross domestic product per capita, volume in USD, at constant purchasing power parities",A,Annual,2010,2010,USD,US Dollar,0,Units,2015,2015,31988.72886,,
GRC,Greece,GDPVD_CAP,"Gross domestic product per capita, volume in USD, at constant purchasing power parities",A,Annual,2011,2011,USD,US Dollar,0,Units,2015,2015,29088.75861,,
GRC,Greece,GDPVD_CAP,"Gross domestic product per capita, volume in USD, at constant purchasing power parities",A,Annual,2012,2012,USD,US Dollar,0,Units,2015,2015,27107.66777,,
GRC,Greece,GDPVD_CAP,"Gross domestic product per capita, volume in USD, at constant purchasing power parities",A,Annual,2013,2013,USD,US Dollar,0,Units,2015,2015,26431.66125,,
GRC,Greece,GDPVD_CAP,"Gross domestic product per capita, volume in USD, at constant purchasing power parities",A,Annual,2014,2014,USD,US Dollar,0,Units,2015,2015,26811.30818,,
GRC,Greece,GDPVD_CAP,"Gross domestic product per capita, volume in USD, at constant purchasing power parities",A,Annual,2015,2015,USD,US Dollar,0,Units,2015,2015,26859.55085,,
GRC,Greece,GDPVD_CAP,"Gross domestic product per capita, volume in USD, at constant purchasing power parities",A,Annual,2016,2016,USD,US Dollar,0,Units,2015,2015,26901.64562,,
GRC,Greece,GDPVD_CAP,"Gross domestic product per capita, volume in USD, at constant purchasing power parities",A,Annual,2017,2017,USD,US Dollar,0,Units,2015,2015,27345.37058,,
GBR,United Kingdom,GDPVD_CAP,"Gross domestic product per capita, volume in USD, at constant purchasing power parities",A,Annual,2000,2000,USD,US Dollar,0,Units,2015,2015,35733.05935,,
GBR,United Kingdom,GDPVD_CAP,"Gross domestic product per capita, volume in USD, at constant purchasing power parities",A,Annual,2001,2001,USD,US Dollar,0,Units,2015,2015,36607.03505,,
GBR,United Kingdom,GDPVD_CAP,"Gross domestic product per capita, volume in USD, at constant purchasing power parities",A,Annual,2002,2002,USD,US Dollar,0,Units,2015,2015,37362.20305,,
GBR,United Kingdom,GDPVD_CAP,"Gross domestic product per capita, volume in USD, at constant purchasing power parities",A,Annual,2003,2003,USD,US Dollar,0,Units,2015,2015,38434.44795,,
GBR,United Kingdom,GDPVD_CAP,"Gross domestic product per capita, volume in USD, at constant purchasing power parities",A,Annual,2004,2004,USD,US Dollar,0,Units,2015,2015,39131.43069,,
GBR,United Kingdom,GDPVD_CAP,"Gross domestic product per capita, volume in USD, at constant purchasing power parities",A,Annual,2005,2005,USD,US Dollar,0,Units,2015,2015,40054.22862,,
GBR,United Kingdom,GDPVD_CAP,"Gross domestic product per capita, volume in USD, at constant purchasing power parities",A,Annual,2006,2006,USD,US Dollar,0,Units,2015,2015,40795.27867,,
